timestamp,open,high,low,close,volume
2023-03-06 12:05:00,406.85,406.945,406.71,406.93,243608
2023-03-06 12:10:00,406.94,407.1692,406.91,407.1601,380767
2023-03-06 12:15:00,407.165,407.38,407.02,407.31,326562
2023-03-06 12:20:00,407.31,407.32,406.9,406.91,530822
2023-03-06 12:25:00,406.915,406.92,406.64,406.81,559440
2023-03-06 12:30:00,406.815,406.82,406.51,406.51,395439
2023-03-06 12:35:00,406.51,406.63,406.335,406.39,439545
2023-03-06 12:40:00,406.39,406.53,406.26,406.3,449467
2023-03-06 12:45:00,406.29,406.32,405.68,405.7701,1100688
2023-03-06 12:50:00,405.78,405.86,405.57,405.82,708184
2023-03-06 12:55:00,405.82,405.96,405.65,405.85,496255
2023-03-06 13:00:00,405.85,405.88,405.66,405.75,325392
2023-03-06 13:05:00,405.76,405.92,405.29,405.51,569594
2023-03-06 13:10:00,405.52,405.61,405.39,405.59,388251
2023-03-06 13:15:00,405.59,405.74,405.42,405.7201,494232
2023-03-06 13:20:00,405.7221,405.88,405.56,405.66,422845
2023-03-06 13:25:00,405.65,405.8,405.38,405.6078,372566
2023-03-06 13:30:00,405.62,405.68,405.47,405.51,296465
2023-03-06 13:35:00,405.51,405.58,404.99,405.076,633526
2023-03-06 13:40:00,405.08,405.37,404.995,405.245,720166
2023-03-06 13:45:00,405.25,405.25,404.9,405.0,625405
2023-03-06 13:50:00,404.99,405.09,404.83,404.95,643341
2023-03-06 13:55:00,404.96,405.07,404.6031,404.855,722694
2023-03-06 14:00:00,404.88,404.9801,404.73,404.951,411697
2023-03-06 14:05:00,404.97,405.145,404.86,405.085,587769
2023-03-06 14:10:00,405.09,405.36,404.95,405.24,401162
2023-03-06 14:15:00,405.23,405.24,404.77,404.8891,427837
2023-03-06 14:20:00,404.89,405.03,404.75,404.89,381104
2023-03-06 14:25:00,404.9001,404.96,404.63,404.95,664601
2023-03-06 14:30:00,404.95,405.2,404.84,404.8782,617000
2023-03-06 14:35:00,404.8701,404.995,404.75,404.935,448676
2023-03-06 14:40:00,404.935,405.2,404.855,405.19,575339
2023-03-06 14:45:00,405.1801,405.185,404.68,404.74,539009
2023-03-06 14:50:00,404.73,404.86,404.61,404.82,395575
2023-03-06 14:55:00,404.82,405.0,404.57,404.72,581808
2023-03-06 15:00:00,404.7218,404.85,404.48,404.51,630708
2023-03-06 15:05:00,404.5,404.925,404.43,404.915,684150
2023-03-06 15:10:00,404.905,405.02,404.39,404.54,983377
2023-03-06 15:15:00,404.53,404.59,404.25,404.4699,719740
2023-03-06 15:20:00,404.465,404.55,404.16,404.2,990033
2023-03-06 15:25:00,404.2,404.33,404.09,404.095,672421
2023-03-06 15:30:00,404.1,404.46,404.03,404.27,753128
2023-03-06 15:35:00,404.26,404.49,404.14,404.43,701391
2023-03-06 15:40:00,404.43,404.656,404.26,404.615,808110
2023-03-06 15:45:00,404.62,404.75,404.46,404.69,944616
2023-03-06 15:50:00,404.68,404.8,404.42,404.51,1402403
2023-03-06 15:55:00,404.51,404.685,404.35,404.46,3180618
2023-03-07 09:30:00,404.42,404.5,404.1,404.3899,1014982
2023-03-07 09:35:00,404.38,404.59,404.18,404.36,780021
2023-03-07 09:40:00,404.37,404.55,404.1,404.14,829759
2023-03-07 09:45:00,404.14,404.67,404.08,404.4897,980044
2023-03-07 09:50:00,404.49,404.64,404.36,404.52,573417
2023-03-07 09:55:00,404.52,404.57,404.25,404.3572,467149
2023-03-07 10:00:00,404.31,404.3199,401.635,401.64,3665633
2023-03-07 10:05:00,401.64,402.02,400.83,401.06,2312579
2023-03-07 10:10:00,401.05,401.46,400.51,401.18,2187523
2023-03-07 10:15:00,401.19,401.5,400.75,400.93,1448060
2023-03-07 10:20:00,400.9328,402.44,400.87,401.83,2058294
2023-03-07 10:25:00,401.83,402.06,401.41,401.68,1114641
2023-03-07 10:30:00,401.69,402.98,401.48,402.63,1466804
2023-03-07 10:35:00,402.66,403.235,402.14,402.32,1533450
2023-03-07 10:40:00,402.3,402.365,401.18,401.3183,1173953
